,date,format,location,title,url
16,2017-04-01T18:00:00.000Z,event,austin,BEYOND: Scaling Creative Business,http://generalassemb.ly/education/beyond-scaling-creative-business/austin/35137
17,2017-04-05T23:00:00.000Z,class,austin,User Experience Client Services,http://generalassemb.ly/education/user-experience-client-services/austin/34994
18,2017-04-05T23:30:00.000Z,info-session,austin,Digital Marketing Info Session,http://generalassemb.ly/education/digital-marketing/austin/learn-more/6525
19,2017-04-05T23:30:00.000Z,info-session,austin,Product Management Info Session,http://generalassemb.ly/education/product-management/austin/learn-more/6524
20,2017-04-15T15:00:00.000Z,workshop,austin,SQL Bootcamp,http://generalassemb.ly/education/sql-bootcamp/austin/35416
21,2017-04-19T23:30:00.000Z,class,austin,How to Escape the 9-5 and Start Your Own Business,http://generalassemb.ly/education/how-to-escape-the-9-5-and-start-your-own-business/austin/33610
22,2017-04-22T15:00:00.000Z,workshop,austin,Intro to Python Bootcamp,http://generalassemb.ly/education/intro-to-python-bootcamp/austin/35414
23,2017-04-24T14:00:00.000Z,immersive,austin,Web Development Immersive,http://generalassemb.ly/education/web-development-immersive/austin
24,2017-04-26T00:00:00.000Z,course,austin,Digital Marketing,http://generalassemb.ly/education/digital-marketing/austin
25,2017-04-27T23:30:00.000Z,event,austin,GA + Austin Public Libraries Present - What is User Experience Design (UX)?,http://generalassemb.ly/education/ga-austin-public-libraries-present-what-is-user-experience-design-ux/austin/34327
26,2017-05-10T23:30:00.000Z,class,austin,Excel at Excel: Getting Down the Basics,http://generalassemb.ly/education/excel-at-excel-getting-down-the-basics/austin/35049
27,2017-05-15T23:00:00.000Z,class,austin,Advanced Excel: Beyond the Basics,http://generalassemb.ly/education/advanced-excel-beyond-the-basics/austin/35051
28,2017-05-25T23:30:00.000Z,event,austin,GA + Austin Public Libraries Present - Intro to Digital Marketing,http://generalassemb.ly/education/ga-austin-public-libraries-present-intro-to-digital-marketing/austin/34324
29,2017-05-30T00:00:00.000Z,course,austin,Data Analytics,http://generalassemb.ly/education/data-analytics/austin
30,2017-06-05T14:00:00.000Z,immersive,austin,User Experience Design Immersive,http://generalassemb.ly/education/user-experience-design-immersive/austin
31,2017-06-12T14:00:00.000Z,immersive,austin,Data Science Immersive,http://generalassemb.ly/education/data-science-immersive/austin
32,2017-06-13T00:00:00.000Z,course,austin,User Experience Design,http://generalassemb.ly/education/user-experience-design/austin
33,2017-06-14T00:00:00.000Z,course,austin,Product Management,http://generalassemb.ly/education/product-management/austin
34,2017-06-19T14:00:00.000Z,immersive,austin,Web Development Immersive,http://generalassemb.ly/education/web-development-immersive/austin
35,2017-06-19T23:30:00.000Z,course,austin,Front-End Web Development,http://generalassemb.ly/education/front-end-web-development/austin
36,2017-06-27T23:30:00.000Z,course,austin,Data Science,http://generalassemb.ly/education/data-science/austin
0,2017-03-11T15:00:00.000Z,workshop,boston,Product Management Bootcamp,http://generalassemb.ly/education/product-management-bootcamp/boston/32480
1,2017-03-11T17:00:00.000Z,workshop,boston,Programming for Non-Programmers - The Basics,http://generalassemb.ly/education/programming-for-non-programmers-the-basics--2/boston/32482
2,2017-03-11T17:00:00.000Z,workshop,boston,Python for Data Science,http://generalassemb.ly/education/python-for-data-science--2/boston/32481
